Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/320-Seaview-Ct-APT-1401-Marco-Island-FL-34145/82580893_zpid/,,Condo for sale,Condominium,129,799000,No,,,1132.0,sqft,705.83,,,2.0,2.0,320 Seaview Ct APT 1401,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/561-5th-Ave-Marco-Island-FL-34145/103159518_zpid/,,New construction,Single Family,180,899500,No,,,1544.0,sqft,582.58,7405.2,sqft,3.0,2.0,561 5th Ave,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/848-Rose-Ct-Marco-Island-FL-34145/103069856_zpid/,,New construction,Single Family,314,2500000,Yes,100000.0,06/17/2024,2503.0,sqft,998.8,8712.0,sqft,3.0,3.0,848 Rose Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/174-S-Collier-Blvd-UNIT-904-Marco-Island-FL-34145/43789402_zpid/,,Condo for sale,Condominium,75,1298000,No,,,1550.0,sqft,837.42,,,2.0,2.0,174 S Collier Blvd UNIT 904,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1535-Caxambas-Ct-Marco-Island-FL-34145/43777204_zpid/,,House for sale,Single Family,722,5450000,Yes,300000.0,11/27/2023,3362.0,sqft,1621.06,0.55,acres,3.0,3.0,1535 Caxambas Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/960-Cape-Marco-Dr-UNIT-1903-Marco-Island-FL-34145/43747037_zpid/,,Condo for sale,Condominium,141,2400000,No,,,2102.0,sqft,1141.77,,,3.0,3.0,960 Cape Marco Dr UNIT 1903,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1975-San-Marco-Rd-Marco-Island-FL-34145/81791611_zpid/,,House for sale,Single Family,49,1395000,Yes,4000.0,07/25/2024,2610.0,sqft,534.48,0.26,acres,4.0,2.0,1975 San Marco Rd,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/935-Whiskey-Creek-Dr-Marco-Island-FL-34145/103109509_zpid/,,Lot / Land for sale,Lot/Land,1,249000,No,,,,,,1.01,acres,,,935 Whiskey Creek Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/276-N-Barfield-Dr-Marco-Island-FL-34145/43774422_zpid/,,House for sale,Single Family,174,1999999,No,,,1851.0,sqft,1080.5,0.25,acres,3.0,3.0,276 N Barfield Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/270-N-Collier-Blvd-APT-403-Marco-Island-FL-34145/43797975_zpid/,,Condo for sale,Condominium,132,699000,Yes,26000.0,09/03/2024,1162.0,sqft,601.55,0.0,sqft,2.0,2.0,270 N Collier Blvd APT 403,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/533-Bradford-Ct-23-Marco-Island-FL-34145/351810359_zpid/,,House for sale,Single Family,97,1000000,No,,,1741.0,sqft,574.38,9583.2,sqft,3.0,2.0,533 Bradford Ct #23,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/486-Landmark-St-Marco-Island-FL-34145/43775653_zpid/,,House for sale,Single Family,160,1200000,No,,,1516.0,sqft,791.56,0.34,acres,3.0,2.0,486 Landmark St,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1085-Bald-Eagle-Dr-UNIT-C204-Naples-FL-34145/43791170_zpid/,,Condo for sale,Condominium,385,489000,Yes,40900.0,02/25/2024,800.0,sqft,611.25,,,1.0,1.0,1085 Bald Eagle Dr UNIT C204,Naples,34145,FL,USA
https://www.zillow.com/homedetails/825-Newell-Ter-Marco-Island-FL-34145/43777286_zpid/,,House for sale,Single Family,304,2350000,Yes,100000.0,02/20/2024,3294.0,sqft,713.42,0.52,acres,5.0,4.0,825 Newell Ter,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/580-Club-Marco-Cir-UNIT-201-Marco-Island-FL-34145/43744802_zpid/,,Condo for sale,Condominium,64,814000,No,,,1424.0,sqft,571.63,,,2.0,2.0,580 Club Marco Cir UNIT 201,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/908-Panama-Ct-506-Marco-Island-FL-34145/89743204_zpid/,,Condo for sale,Condominium,49,2675000,No,,,3242.0,sqft,825.11,,,3.0,4.0,908 Panama Ct #506,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1421-Firwood-Ct-Marco-Island-FL-34145/43773778_zpid/,,House for sale,Single Family,178,2299000,Yes,100000.0,08/11/2024,2093.0,sqft,1098.42,0.31,acres,2.0,3.0,1421 Firwood Ct,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/100-Stevens-Landing-Dr-UNIT-305-Marco-Island-FL-34145/43797207_zpid/,,Condo for sale,Condominium,119,499500,No,,,1213.0,sqft,411.79,0.0,sqft,2.0,2.0,100 Stevens Landing Dr UNIT 305,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/970-Cape-Marco-Dr-UNIT-1902-Marco-Island-FL-34145/63234126_zpid/,,Condo for sale,Condominium,64,2740000,No,,,2680.0,sqft,1022.39,,,3.0,3.0,970 Cape Marco Dr UNIT 1902,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1079-Blue-Hill-Creek-Dr-Marco-Island-FL-34145/103063931_zpid/,,Lot / Land for sale,Lot/Land,275,225000,No,,,,,,1.08,acres,,,1079 Blue Hill Creek Dr,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/845-Collier-Ct-APT-205-Marco-Island-FL-34145/43799293_zpid/,,Condo for sale,Condominium,52,1350000,Yes,50000.0,08/29/2024,1660.0,sqft,813.25,,,2.0,3.0,845 Collier Ct APT 205,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/190-N-Collier-Blvd-APT-K10-Marco-Island-FL-34145/54200598_zpid/,,Condo for sale,Condominium,156,385000,Yes,10000.0,06/19/2024,704.0,sqft,546.88,,,2.0,1.0,190 N Collier Blvd APT K10,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/300-Stevens-Landing-Dr-C-203-Marco-Island-FL-34145/2064768098_zpid/,,Condo for sale,Condominium,42,455000,Yes,10000.0,09/04/2024,950.0,sqft,478.95,0.0,sqft,2.0,2.0,300 Stevens Landing Dr #C-203,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/300-Stevens-Landing-Dr-UNIT-205-Marco-Island-FL-34145/43797235_zpid/,,Condo for sale,Condominium,575,475000,Yes,15000.0,02/13/2024,1100.0,sqft,431.82,,,2.0,2.0,300 Stevens Landing Dr UNIT 205,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/180-Seaview-Ct-APT-507-Marco-Island-FL-34145/54204043_zpid/,,Condo for sale,Condominium,106,979000,No,,,874.0,sqft,1120.14,0.0,sqft,2.0,2.0,180 Seaview Ct APT 507,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1206-Edington-Pl-APT-D304-Marco-Island-FL-34145/43802377_zpid/,,Condo for sale,Condominium,289,589000,Yes,11000.0,06/10/2024,1000.0,sqft,589.0,,,2.0,2.0,1206 Edington Pl APT D304,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/260-Seaview-Ct-APT-1006-Marco-Island-FL-34145/43796283_zpid/,,Condo for sale,Condominium,36,950000,No,,,1074.0,sqft,884.54,,,2.0,2.0,260 Seaview Ct APT 1006,Marco Island,34145,FL,USA
https://www.zillow.com/homedetails/1152-Bald-Eagle-Dr-2-UNIT-1-A-Marco-Island-FL-34145/339976694_zpid/,,Condo for sale,Condominium,210,344999,Yes,5000.0,07/20/2024,562.0,sqft,613.88,,,1.0,1.0,1152 Bald Eagle Dr 2-UNIT 1-A,Marco Island,34145,FL,USA
